matricula;AnoMes_Formatted;leads;trabalhado;abordado;negociado;rec_orcamento;cotado;transm_bru;transm_liq;rec_canc_transm;premio_transm;premio_rec_canc;premio_emi;ticket_med_bru;ticket_med_lid;%Trabalhado;%Abordado;%Cotado;%Conversão_Bruta;%Conversão_Líquida;%Eficiência;AnoMes_Formatted:1;monitoria;sac;tempo_logado;Status_Meta;Operador_Sequencial
4400000;202101;4;4;4;4;2;2;0;0;0;0;0;0;0;0;1;1;0,5;0;0;0;202101;null;null;null;abaixo da meta;1
4400000;202107;14;14;14;8;4;4;0;0;0;0;0;0;0;0;1;1;0,285714286;0;0;0;202107;null;null;null;abaixo da meta;1
4400001;202102;12;12;12;12;2;10;2;2;0;2070;0;2070;2070;2070;1;1;0,833333333;0,2;0,2;0,166666667;202102;null;null;null;abaixo da meta;1
4400001;202103;12;12;12;4;0;4;0;0;0;0;0;0;0;0;1;1;0,333333333;0;0;0;202103;null;null;null;abaixo da meta;1
4400001;202109;14;14;14;12;4;8;0;0;0;0;0;0;0;0;1;1;0,571428571;0;0;0;202109;null;null;null;abaixo da meta;1
4400002;202102;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202102;null;null;null;abaixo da meta;1
4400002;202102;6;6;6;4;2;2;0;0;0;0;0;0;0;0;1;1;0,333333333;0;0;0;202102;null;null;null;abaixo da meta;2
4400002;202108;16;16;16;8;2;6;0;0;0;0;0;0;0;0;1;1;0,375;0;0;0;202108;null;null;null;abaixo da meta;1
4400003;202102;18;18;18;18;2;16;6;6;0;10738;0;10738;3579,333334;3579,333334;1;1;0,888888889;0,375;0,375;0,333333333;202102;82;0;23804;abaixo da meta;1
4400004;202102;4;4;4;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202102;null;null;null;abaixo da meta;1
4400005;202102;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202102;95;0;26735;abaixo da meta;1
4400005;202102;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202102;98;0;24095;abaixo da meta;2
4400005;202103;24;24;24;8;0;8;2;0;2;5252;5252;0;5252;0;1;1;0,333333333;0,25;0;0;202103;95;0;26735;abaixo da meta;1
4400005;202103;24;24;24;8;0;8;2;0;2;5252;5252;0;5252;0;1;1;0,333333333;0,25;0;0;202103;98;0;24095;abaixo da meta;2
4400005;202105;12;12;12;8;0;8;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202105;95;0;26735;abaixo da meta;1
4400005;202105;12;12;12;8;0;8;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202105;98;0;24095;abaixo da meta;2
